City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carutapera,-1.195,-46.02,26.07,80,11,3.93,BR,1723170346
1,kapa'a,22.0752,-159.319,29.18,66,0,5.66,US,1723170929
2,papao,-17.75,-149.55,24.08,90,72,6.16,PF,1723170930
3,chonchi,-42.6128,-73.8092,6.41,95,100,1.43,CL,1723170657
4,nantucket,41.2835,-70.0995,17.06,100,100,4.63,US,1723170932
5,punta arenas,-53.15,-70.9167,6.06,87,100,8.23,CL,1723170779
6,ushuaia,-54.8,-68.3,4.81,87,75,9.77,AR,1723170929
7,campo mourao,-24.0456,-52.3831,13.73,93,100,4.75,BR,1723170943
8,grytviken,-54.2811,-36.5092,-15.39,76,15,6.24,GS,1723170394
9,general pico,-35.6566,-63.7568,1.78,68,0,2.18,AR,1723170945
10,edinburgh of the seven seas,-37.0676,-12.3116,14.45,90,100,17.28,SH,1723170402
11,keflavik,64.0049,-22.5624,9.24,87,100,2.57,IS,1723170455
12,fort bragg,35.139,-79.006,23.85,91,100,6.17,US,1723170457
13,port-aux-francais,-49.35,70.2167,2.39,71,60,7.68,TF,1723170409
14,waitangi,-43.9535,-176.5597,12.12,81,100,3.13,NZ,1723170397
15,kiomboi,-4.2667,34.3667,14.93,60,10,2.02,TZ,1723170954
16,turtas,58.9417,69.1325,11.43,76,100,2.58,RU,1723170734
17,codrington,-38.2667,141.9667,15.02,64,100,4.22,AU,1723170956
18,dalnegorsk,44.5604,135.5701,29.76,47,30,1.47,RU,1723170957
19,ancud,-41.8697,-73.8203,7.73,87,100,2.91,CL,1723170958
20,saint-joseph,-21.3667,55.6167,20.0,74,24,4.79,RE,1723170822
21,walvis bay,-22.9575,14.5053,11.29,61,0,2.91,NA,1723170751
22,ilulissat,69.2167,-51.1,6.01,93,100,0.0,GL,1723170391
23,clarence town,-32.5833,151.7833,18.78,56,99,1.93,AU,1723170963
24,longyearbyen,78.2186,15.6401,10.91,93,0,4.12,SJ,1723170521
25,machico,32.7,-16.7667,23.35,64,40,4.12,PT,1723170965
26,mojoagung,-7.5667,112.35,31.95,50,0,2.03,ID,1723170966
27,bredasdorp,-34.5322,20.0403,10.36,77,42,10.54,ZA,1723170967
28,nar'yan-mar,67.6713,53.087,10.51,65,16,2.01,RU,1723170968
29,jamestown,42.097,-79.2353,21.8,100,100,4.63,US,1723170416
30,west island,-12.1568,96.8225,26.99,78,20,7.72,CC,1723170636
31,invercargill,-46.4,168.35,8.9,77,1,2.68,NZ,1723170392
32,twin falls,42.3505,-114.6445,27.19,30,0,2.57,US,1723170973
33,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,100,3.0,RU,1723170974
34,yarmouth,41.7057,-70.2286,19.03,95,100,3.6,US,1723170745
35,maamba,-17.3667,27.15,16.64,35,0,0.93,ZM,1723170976
36,iskateley,67.6803,53.1512,8.66,72,17,1.92,RU,1723170446
37,adamstown,-25.066,-130.1015,22.22,82,96,13.47,PN,1723170429
38,jurbarkas,55.0778,22.7664,16.85,91,100,1.77,LT,1723170983
39,st. john's,47.5649,-52.7093,17.1,78,40,5.66,CA,1723170423
40,pacific grove,36.6177,-121.9166,15.23,94,75,4.12,US,1723170985
41,conde,-7.2597,-34.9075,22.7,100,20,1.54,BR,1723170986
42,isafjordur,66.0755,-23.124,5.56,93,100,2.84,IS,1723170527
43,albany,42.6001,-73.9662,18.48,75,100,1.34,US,1723170393
44,fort st. john,56.2499,-120.8529,22.94,40,20,6.69,CA,1723170398
45,kodiak,57.79,-152.4072,12.73,82,100,1.54,US,1723170992
46,labuan,5.2767,115.2417,30.2,79,20,1.03,MY,1723170993
47,cidreira,-30.1811,-50.2056,11.39,92,63,5.33,BR,1723170893
48,taulaga,-11.0553,-171.0883,27.25,79,52,8.68,AS,1723170733
49,vilyuchinsk,52.9306,158.4028,13.51,98,100,1.33,RU,1723170996
50,lebu,-37.6167,-73.65,6.94,85,95,3.94,CL,1723170860
51,fale old settlement,-9.3852,-171.2468,27.93,76,94,7.75,TK,1723170998
52,atafu village,-8.5421,-172.5159,28.88,71,61,8.5,TK,1723170644
53,yellowknife,62.456,-114.3525,23.56,51,20,5.14,CA,1723170448
54,port-vila,-17.7338,168.3219,24.78,69,75,6.69,VU,1723171002
55,puerto ayora,-0.7393,-90.3518,19.75,91,49,1.79,EC,1723170529
56,ivdel',60.6911,60.4206,13.64,66,46,1.4,RU,1723171005
57,puerto carreno,6.189,-67.4859,23.59,98,100,3.43,CO,1723171006
58,afaahiti,-17.75,-149.2833,23.71,88,66,6.67,PF,1723170619
59,puerto natales,-51.7236,-72.4875,6.19,83,99,6.41,CL,1723170481
60,jwaneng,-24.6004,24.7303,12.66,24,0,3.58,BW,1723171009
61,saint-paul,-21.0096,55.2707,21.19,75,40,0.25,RE,1723171011
62,zuidhorn,53.2467,6.4028,17.99,90,100,4.12,NL,1723171012
63,yukhnov,54.7444,35.2297,12.6,96,2,1.98,RU,1723171013
64,dubbo,-32.25,148.6167,17.07,63,100,4.63,AU,1723171014
65,wailua homesteads,22.0669,-159.378,28.44,68,0,5.66,US,1723171016
66,mossendjo,-2.9506,12.7261,17.54,98,99,0.72,CG,1723171017
67,micheweni,-4.9667,39.8333,23.36,80,14,3.18,TZ,1723171018
68,wisconsin rapids,44.3836,-89.8174,15.96,63,0,2.57,US,1723170725
69,kandyagash,49.4744,57.4233,18.56,77,0,5.19,KZ,1723171021
70,bilibino,68.0546,166.4372,14.58,40,18,1.12,RU,1723170459
71,coronel suarez,-37.4547,-61.9334,0.02,83,2,2.19,AR,1723171023
